epoch;val_ids;proposal_size
39;ctslice7037_2.nii;[65484,34,18,0,0]
40;ctslice7314_3.nii;[65477,0,59,0,0]
41;ctslice744_3.nii;[59061,3699,0,2776,0]
42;ctslice3439_1.nii;[64238,0,1289,9,0]
43;ctslice6103_3.nii;[65536,0,0,0,0]
44;ctslice242_3.nii;[65536,0,0,0,0]
45;ctslice6993_2.nii;[58157,1914,0,3398,2067]
46;ctslice80_3.nii;[65423,113,0,0,0]
47;ctslice7566_2.nii;[65163,0,0,0,373]
48;ctslice7753_1.nii;[56976,3127,2611,2242,580]
49;ctslice5988_3.nii;[65387,0,149,0,0]
50;ctslice6799_2.nii;[65536,0,0,0,0]
51;ctslice2270_1.nii;[61664,97,2534,126,1115]
52;ctslice2391_1.nii;[64040,36,1249,211,0]
53;ctslice3185_1.nii;[62812,1535,0,1189,0]
54;ctslice6644_3.nii;[64971,0,565,0,0]
55;ctslice4925_1.nii;[65536,0,0,0,0]
56;ctslice2802_1.nii;[65536,0,0,0,0]
57;ctslice4113_3.nii;[65172,0,335,0,29]
58;ctslice5122_2.nii;[65536,0,0,0,0]
59;ctslice8173_2.nii;[59610,792,1411,2099,1624]
60;ctslice7327_3.nii;[57343,1667,252,4085,2189]
61;ctslice2677_2.nii;[63552,251,1733,0,0]
62;ctslice179_2.nii;[64281,0,113,0,1142]
63;ctslice1040_3.nii;[59223,2008,0,2841,1464]
64;ctslice7824_3.nii;[65536,0,0,0,0]
65;ctslice3616_3.nii;[64973,563,0,0,0]
66;ctslice5008_2.nii;[63668,489,0,1286,93]
67;ctslice5448_1.nii;[65099,0,29,0,408]
68;ctslice2243_3.nii;[62370,0,2566,0,600]
69;ctslice7973_2.nii;[65536,0,0,0,0]
70;ctslice3038_3.nii;[63584,188,1764,0,0]
71;ctslice6742_2.nii;[61876,1766,0,1894,0]
72;ctslice460_3.nii;[65436,0,100,0,0]
73;ctslice2600_3.nii;[65536,0,0,0,0]
74;ctslice1939_2.nii;[65536,0,0,0,0]
75;ctslice6541_2.nii;[65363,0,0,0,173]
76;ctslice89_2.nii;[65536,0,0,0,0]
77;ctslice5902_1.nii;[65536,0,0,0,0]
78;ctslice824_1.nii;[65536,0,0,0,0]
79;ctslice6233_2.nii;[65416,0,0,0,120]
80;ctslice567_1.nii;[61399,985,1631,499,1022]
81;ctslice1335_3.nii;[65450,83,3,0,0]
82;ctslice3794_2.nii;[60463,2057,2556,460,0]
83;ctslice7121_1.nii;[65536,0,0,0,0]
84;ctslice6373_3.nii;[58316,1664,2193,3363,0]
85;ctslice6166_3.nii;[65536,0,0,0,0]
86;ctslice4543_2.nii;[65076,0,0,0,460]
87;ctslice3496_2.nii;[65536,0,0,0,0]
88;ctslice3150_3.nii;[59446,97,5993,0,0]
89;ctslice7237_2.nii;[58710,0,6191,617,18]
90;ctslice1842_1.nii;[60581,3050,11,1273,621]
91;ctslice5701_3.nii;[59451,1150,2313,2622,0]
92;ctslice3250_1.nii;[65536,0,0,0,0]
93;ctslice4388_2.nii;[61296,556,3627,57,0]
94;ctslice243_3.nii;[65536,0,0,0,0]
95;ctslice3694_1.nii;[64155,0,1381,0,0]
96;ctslice7385_3.nii;[61231,0,4305,0,0]
97;ctslice8136_3.nii;[65536,0,0,0,0]
98;ctslice5952_2.nii;[65438,61,37,0,0]
99;ctslice2376_1.nii;[64854,0,0,0,682]
100;ctslice5648_1.nii;[65536,0,0,0,0]
101;ctslice7181_2.nii;[65536,0,0,0,0]
102;ctslice5418_3.nii;[62288,983,666,6,1593]
103;ctslice5499_2.nii;[63043,989,1022,4,478]
104;ctslice1669_3.nii;[55823,3564,999,5150,0]
105;ctslice7033_1.nii;[65536,0,0,0,0]
106;ctslice2148_1.nii;[65536,0,0,0,0]
107;ctslice5195_2.nii;[65536,0,0,0,0]
108;ctslice5585_3.nii;[64848,5,683,0,0]
109;ctslice4184_1.nii;[62050,0,3486,0,0]
110;ctslice2762_2.nii;[59982,1987,107,488,2972]
111;ctslice7779_2.nii;[64270,0,1245,0,21]
112;ctslice7091_3.nii;[65536,0,0,0,0]
113;ctslice4340_3.nii;[63150,313,1119,550,404]
114;ctslice3466_2.nii;[65536,0,0,0,0]
115;ctslice5530_2.nii;[65536,0,0,0,0]
116;ctslice5487_3.nii;[65536,0,0,0,0]
117;ctslice4007_1.nii;[63719,509,95,0,1213]
118;ctslice4025_1.nii;[65536,0,0,0,0]
119;ctslice5579_3.nii;[65536,0,0,0,0]
120;ctslice1130_3.nii;[63705,0,1831,0,0]
121;ctslice5243_1.nii;[65536,0,0,0,0]
122;ctslice2614_2.nii;[59178,1916,4402,40,0]
123;ctslice3430_1.nii;[65174,305,25,32,0]
124;ctslice6417_2.nii;[65536,0,0,0,0]
125;ctslice7610_1.nii;[62628,0,0,0,2908]
126;ctslice5015_2.nii;[65536,0,0,0,0]
127;ctslice6857_1.nii;[63921,0,29,0,1586]
128;ctslice8134_3.nii;[58346,3901,867,2422,0]
129;ctslice3774_2.nii;[65000,0,536,0,0]
130;ctslice5450_2.nii;[60137,325,5074,0,0]
131;ctslice131_1.nii;[56710,1560,3960,3306,0]
132;ctslice589_3.nii;[65536,0,0,0,0]
133;ctslice5335_3.nii;[58223,1563,4539,1211,0]
134;ctslice3826_1.nii;[64311,0,1225,0,0]
135;ctslice4054_1.nii;[55139,2744,335,3383,3935]
136;ctslice2407_2.nii;[63505,1276,187,33,535]
137;ctslice8215_3.nii;[65536,0,0,0,0]
138;ctslice1754_1.nii;[64832,0,704,0,0]
139;ctslice300_2.nii;[65536,0,0,0,0]
140;ctslice6380_1.nii;[64447,63,802,0,224]
141;ctslice633_3.nii;[65536,0,0,0,0]
142;ctslice6113_3.nii;[65536,0,0,0,0]
143;ctslice6590_3.nii;[61250,2177,0,2109,0]
144;ctslice4411_3.nii;[65477,0,0,59,0]
145;ctslice6539_3.nii;[58801,1520,1551,3664,0]
146;ctslice7613_2.nii;[62058,611,2867,0,0]
147;ctslice7026_3.nii;[62813,498,607,1618,0]
148;ctslice2700_1.nii;[65536,0,0,0,0]
149;ctslice1851_2.nii;[65536,0,0,0,0]
150;ctslice6871_2.nii;[65536,0,0,0,0]
151;ctslice8046_3.nii;[57424,3099,4,5009,0]
152;ctslice5857_1.nii;[55686,1903,7557,97,293]
153;ctslice2830_2.nii;[59545,2744,0,3247,0]
154;ctslice201_3.nii;[65536,0,0,0,0]
155;ctslice3458_3.nii;[64224,0,1312,0,0]
156;ctslice1643_3.nii;[61616,854,583,2473,10]
157;ctslice2870_3.nii;[65536,0,0,0,0]
158;ctslice321_2.nii;[63782,0,1516,0,238]
159;ctslice8213_1.nii;[65536,0,0,0,0]
160;ctslice1846_2.nii;[65536,0,0,0,0]
161;ctslice1246_3.nii;[61554,83,2564,1220,115]
162;ctslice1875_3.nii;[64940,0,304,292,0]
163;ctslice2145_3.nii;[65536,0,0,0,0]
164;ctslice1730_3.nii;[65016,0,520,0,0]
165;ctslice2164_2.nii;[64556,426,0,554,0]
166;ctslice4169_3.nii;[58679,1856,2799,2202,0]
167;ctslice3791_2.nii;[65536,0,0,0,0]
168;ctslice1457_1.nii;[55002,3481,6182,871,0]
169;ctslice2255_1.nii;[62048,3,3485,0,0]
170;ctslice7934_2.nii;[55023,3754,554,6205,0]
171;ctslice4271_3.nii;[64938,503,42,0,53]
172;ctslice7645_3.nii;[64473,38,991,34,0]
173;ctslice2376_3.nii;[63228,0,0,0,2308]
174;ctslice8375_2.nii;[63208,1355,0,973,0]
175;ctslice63_3.nii;[62732,0,2764,40,0]
176;ctslice4855_2.nii;[61899,113,3509,0,15]
177;ctslice6323_3.nii;[64476,0,1060,0,0]
178;ctslice2682_1.nii;[64488,0,844,0,204]
179;ctslice1150_2.nii;[65536,0,0,0,0]
180;ctslice3934_2.nii;[65536,0,0,0,0]
181;ctslice1058_1.nii;[60278,0,5258,0,0]
182;ctslice6747_3.nii;[59043,1552,39,4240,662]
183;ctslice2854_1.nii;[59502,2373,29,3632,0]
184;ctslice2211_2.nii;[65536,0,0,0,0]
185;ctslice7481_1.nii;[63193,1776,2,10,555]
186;ctslice5126_1.nii;[65536,0,0,0,0]
187;ctslice1639_2.nii;[65536,0,0,0,0]
188;ctslice5106_1.nii;[64034,1173,0,329,0]
189;ctslice3574_1.nii;[65266,270,0,0,0]
190;ctslice4831_3.nii;[65536,0,0,0,0]
191;ctslice177_1.nii;[63761,19,1702,0,54]
192;ctslice1888_1.nii;[65536,0,0,0,0]
193;ctslice7068_2.nii;[65536,0,0,0,0]
194;ctslice1458_3.nii;[57990,1549,4377,1620,0]
195;ctslice2098_3.nii;[65170,239,0,0,127]
196;ctslice1339_2.nii;[55963,2220,2374,3066,1913]
197;ctslice4619_1.nii;[59613,2516,0,1897,1510]
198;ctslice7203_2.nii;[60806,2054,142,2217,317]
199;ctslice6429_2.nii;[65536,0,0,0,0]
200;ctslice2463_1.nii;[61683,1310,121,2422,0]
201;ctslice7685_3.nii;[62743,647,2100,46,0]
202;ctslice6981_2.nii;[63900,452,0,0,1184]
203;ctslice2912_2.nii;[65536,0,0,0,0]
204;ctslice5362_3.nii;[60272,1786,1187,1183,1108]
205;ctslice2201_3.nii;[63156,2303,77,0,0]
206;ctslice3980_2.nii;[64553,0,983,0,0]
207;ctslice6950_2.nii;[65536,0,0,0,0]
208;ctslice8368_1.nii;[65536,0,0,0,0]
209;ctslice2853_2.nii;[65536,0,0,0,0]
210;ctslice9_3.nii;[65536,0,0,0,0]
211;ctslice468_3.nii;[65536,0,0,0,0]
212;ctslice6551_2.nii;[65536,0,0,0,0]
213;ctslice938_1.nii;[61328,3327,0,881,0]
214;ctslice5914_2.nii;[65536,0,0,0,0]
215;ctslice5955_3.nii;[63845,0,87,3,1601]
216;ctslice2057_2.nii;[65536,0,0,0,0]
217;ctslice1338_1.nii;[65536,0,0,0,0]
218;ctslice7602_2.nii;[64748,0,0,0,788]
219;ctslice7291_1.nii;[65536,0,0,0,0]
220;ctslice4280_3.nii;[65531,0,0,5,0]
221;ctslice3158_2.nii;[60728,1102,3687,19,0]
222;ctslice6703_3.nii;[65402,75,59,0,0]
223;ctslice6208_1.nii;[65536,0,0,0,0]
224;ctslice4754_2.nii;[65536,0,0,0,0]
225;ctslice768_3.nii;[62020,0,3516,0,0]
226;ctslice5889_2.nii;[65471,0,65,0,0]
227;ctslice1670_1.nii;[65536,0,0,0,0]
228;ctslice7471_2.nii;[59605,3565,186,2180,0]
229;ctslice4422_3.nii;[65536,0,0,0,0]
230;ctslice5488_3.nii;[64623,784,56,0,73]
231;ctslice2241_1.nii;[58235,552,0,2605,4144]
232;ctslice6065_1.nii;[63886,92,68,86,1404]
233;ctslice6960_2.nii;[64753,333,0,450,0]
234;ctslice8264_1.nii;[61441,33,3167,5,890]
235;ctslice7114_1.nii;[59184,3384,0,2840,128]
236;ctslice5735_2.nii;[63169,2367,0,0,0]
237;ctslice6593_1.nii;[65536,0,0,0,0]
238;ctslice2318_3.nii;[60606,1008,21,3901,0]
239;ctslice5251_1.nii;[65536,0,0,0,0]
240;ctslice6650_1.nii;[62396,125,0,152,2863]
241;ctslice2208_2.nii;[63135,157,2164,0,80]
242;ctslice7161_2.nii;[65126,0,0,0,410]
243;ctslice8370_2.nii;[63209,1,1312,1014,0]
244;ctslice842_2.nii;[65536,0,0,0,0]
245;ctslice3512_2.nii;[65536,0,0,0,0]
246;ctslice4082_2.nii;[65097,0,439,0,0]
247;ctslice2897_3.nii;[65536,0,0,0,0]
248;ctslice5265_1.nii;[65536,0,0,0,0]
249;ctslice2575_1.nii;[65391,145,0,0,0]
250;ctslice3243_1.nii;[60304,2408,0,2824,0]
251;ctslice4270_1.nii;[56907,1514,288,4576,2251]
252;ctslice6528_2.nii;[65309,0,89,106,32]
253;ctslice4291_3.nii;[64648,620,268,0,0]
254;ctslice8284_1.nii;[64627,909,0,0,0]
255;ctslice2589_3.nii;[57147,1560,4177,2652,0]
256;ctslice3399_3.nii;[65536,0,0,0,0]
257;ctslice4533_1.nii;[65536,0,0,0,0]
258;ctslice2130_3.nii;[64168,0,1368,0,0]
259;ctslice2134_3.nii;[65536,0,0,0,0]
260;ctslice2589_2.nii;[57560,1145,3973,2858,0]
261;ctslice2128_1.nii;[65270,2,252,0,12]
262;ctslice5828_2.nii;[61399,1517,27,2593,0]
263;ctslice2815_2.nii;[65517,0,1,18,0]
264;ctslice6414_3.nii;[65536,0,0,0,0]
265;ctslice1577_3.nii;[65160,0,376,0,0]
266;ctslice7548_2.nii;[63254,367,0,0,1915]
267;ctslice7568_1.nii;[63319,182,0,55,1980]
268;ctslice2868_1.nii;[65536,0,0,0,0]
269;ctslice7671_2.nii;[65536,0,0,0,0]
270;ctslice1838_2.nii;[59755,544,2425,2812,0]
271;ctslice5949_1.nii;[61112,1569,0,2855,0]
272;ctslice3624_3.nii;[57331,1487,4353,2365,0]
273;ctslice2085_1.nii;[65536,0,0,0,0]
274;ctslice4455_2.nii;[63147,1100,0,1289,0]
275;ctslice1602_3.nii;[65536,0,0,0,0]
276;ctslice8224_3.nii;[59015,3154,1041,1957,369]
277;ctslice959_1.nii;[65335,0,0,201,0]
278;ctslice4850_1.nii;[64731,258,100,447,0]
279;ctslice4947_1.nii;[64037,1499,0,0,0]
280;ctslice4871_3.nii;[65536,0,0,0,0]
281;ctslice3468_1.nii;[65536,0,0,0,0]
282;ctslice8254_2.nii;[64759,0,707,0,70]
283;ctslice1329_2.nii;[62064,0,3472,0,0]
284;ctslice7989_1.nii;[65361,0,175,0,0]
285;ctslice651_3.nii;[57453,1442,4474,2167,0]
286;ctslice1439_2.nii;[63923,382,1089,142,0]
287;ctslice7381_2.nii;[62815,0,2721,0,0]
288;ctslice8183_3.nii;[64966,570,0,0,0]
289;ctslice3105_3.nii;[65004,258,59,164,51]
290;ctslice6111_2.nii;[63796,0,1588,152,0]
291;ctslice5330_2.nii;[65422,0,114,0,0]
292;ctslice2313_2.nii;[65536,0,0,0,0]
293;ctslice7692_3.nii;[64839,13,684,0,0]
294;ctslice4330_2.nii;[65362,0,174,0,0]
295;ctslice7414_2.nii;[64702,0,0,0,834]
296;ctslice191_3.nii;[65536,0,0,0,0]
297;ctslice6470_2.nii;[65536,0,0,0,0]
298;ctslice7226_2.nii;[58383,1025,2760,1089,2279]
299;ctslice463_3.nii;[60812,1398,2350,976,0]
300;ctslice1758_3.nii;[65380,0,156,0,0]
301;ctslice6350_2.nii;[55988,3346,4188,2006,8]
302;ctslice7782_2.nii;[65536,0,0,0,0]
303;ctslice1578_1.nii;[65000,1,451,0,84]
304;ctslice104_2.nii;[65080,0,0,0,456]
305;ctslice300_1.nii;[65536,0,0,0,0]
306;ctslice4839_2.nii;[65536,0,0,0,0]
307;ctslice6122_3.nii;[64822,0,708,6,0]
308;ctslice2293_1.nii;[65536,0,0,0,0]
309;ctslice5921_3.nii;[58843,3395,80,3218,0]
310;ctslice5737_2.nii;[65536,0,0,0,0]
311;ctslice6825_1.nii;[60138,0,0,49,5349]
312;ctslice2302_3.nii;[64434,1068,34,0,0]
313;ctslice4437_3.nii;[65536,0,0,0,0]
314;ctslice6508_2.nii;[64945,439,0,152,0]
315;ctslice1770_1.nii;[63665,1829,42,0,0]
316;ctslice2089_3.nii;[60612,1392,15,1074,2443]
317;ctslice7746_3.nii;[65536,0,0,0,0]
318;ctslice4411_2.nii;[63289,529,750,968,0]
319;ctslice8205_3.nii;[60499,2066,83,2864,24]
320;ctslice8170_2.nii;[54471,2920,7600,545,0]
321;ctslice4592_1.nii;[65536,0,0,0,0]
322;ctslice1905_1.nii;[59764,788,2881,2103,0]
323;ctslice7328_1.nii;[65536,0,0,0,0]
324;ctslice7963_2.nii;[62978,925,0,1633,0]
325;ctslice2192_3.nii;[65536,0,0,0,0]
326;ctslice4596_1.nii;[65536,0,0,0,0]
327;ctslice2410_3.nii;[63476,1206,551,303,0]
328;ctslice7916_1.nii;[60780,0,4756,0,0]
329;ctslice3693_1.nii;[65536,0,0,0,0]
330;ctslice4312_2.nii;[65138,0,398,0,0]
331;ctslice4794_3.nii;[63872,0,1664,0,0]
332;ctslice8165_1.nii;[58960,3851,137,2588,0]
333;ctslice6859_2.nii;[63091,1695,0,750,0]
334;ctslice2023_1.nii;[64786,0,0,0,750]
335;ctslice8265_3.nii;[64222,0,1314,0,0]
336;ctslice7039_3.nii;[65310,0,213,0,13]
337;ctslice2775_2.nii;[65536,0,0,0,0]
338;ctslice233_1.nii;[58007,1295,4706,1528,0]
339;ctslice489_1.nii;[60911,1410,1358,1857,0]
340;ctslice739_3.nii;[65536,0,0,0,0]
341;ctslice1632_3.nii;[63710,0,1826,0,0]
342;ctslice5148_1.nii;[65536,0,0,0,0]
343;ctslice6030_1.nii;[65536,0,0,0,0]
344;ctslice147_1.nii;[65536,0,0,0,0]
345;ctslice1919_3.nii;[65536,0,0,0,0]
346;ctslice6537_1.nii;[65536,0,0,0,0]
347;ctslice1927_1.nii;[65329,199,0,8,0]
348;ctslice7108_1.nii;[61016,324,1078,3118,0]
349;ctslice4485_1.nii;[65536,0,0,0,0]
350;ctslice198_3.nii;[65530,6,0,0,0]
351;ctslice8100_3.nii;[64971,0,462,103,0]
352;ctslice3946_1.nii;[65111,77,0,156,192]
353;ctslice6363_1.nii;[65496,37,3,0,0]
354;ctslice2411_3.nii;[65536,0,0,0,0]
355;ctslice911_1.nii;[58588,431,6486,31,0]
356;ctslice2759_3.nii;[62923,15,330,0,2268]
357;ctslice4298_3.nii;[65536,0,0,0,0]
358;ctslice631_3.nii;[64074,1225,237,0,0]
359;ctslice3912_3.nii;[64641,78,74,137,606]
360;ctslice5320_3.nii;[65536,0,0,0,0]
361;ctslice3275_2.nii;[55795,4339,0,5402,0]
362;ctslice6866_2.nii;[65536,0,0,0,0]
363;ctslice5499_3.nii;[61568,1522,1015,1052,379]
364;ctslice337_3.nii;[65536,0,0,0,0]
365;ctslice2889_2.nii;[65536,0,0,0,0]
366;ctslice6784_3.nii;[63349,445,333,1409,0]
367;ctslice4755_3.nii;[65536,0,0,0,0]
368;ctslice1812_3.nii;[59879,2353,1173,2131,0]
369;ctslice1489_2.nii;[65536,0,0,0,0]
370;ctslice1535_2.nii;[65336,0,200,0,0]
371;ctslice1440_3.nii;[65536,0,0,0,0]
372;ctslice4398_1.nii;[62306,447,2074,709,0]
373;ctslice5531_2.nii;[63257,1487,0,792,0]
374;ctslice5840_2.nii;[65536,0,0,0,0]
375;ctslice2136_2.nii;[65311,12,213,0,0]
376;ctslice1865_2.nii;[64493,0,1043,0,0]
377;ctslice7756_2.nii;[61043,1329,0,365,2799]
378;ctslice2710_3.nii;[63610,10,29,0,1887]
379;ctslice1490_2.nii;[65536,0,0,0,0]
380;ctslice7761_1.nii;[58900,1032,235,3789,1580]
381;ctslice7804_3.nii;[65536,0,0,0,0]
382;ctslice3947_3.nii;[65001,0,0,0,535]
383;ctslice6176_1.nii;[65151,0,32,0,353]
384;ctslice5730_1.nii;[65536,0,0,0,0]
385;ctslice5061_2.nii;[65536,0,0,0,0]
386;ctslice7460_2.nii;[65536,0,0,0,0]
387;ctslice1836_2.nii;[65239,0,297,0,0]
388;ctslice4594_2.nii;[61727,0,3623,84,102]
389;ctslice5018_1.nii;[65536,0,0,0,0]
390;ctslice6905_2.nii;[64864,0,672,0,0]
391;ctslice3072_2.nii;[64399,0,1107,0,30]
392;ctslice6785_3.nii;[60693,2433,0,2410,0]
393;ctslice4191_2.nii;[63230,18,2288,0,0]
394;ctslice3435_2.nii;[62212,0,3324,0,0]
395;ctslice2946_1.nii;[65536,0,0,0,0]
396;ctslice4604_2.nii;[65466,58,0,0,12]
397;ctslice1730_1.nii;[64804,0,641,0,91]
398;ctslice5110_1.nii;[65536,0,0,0,0]
399;ctslice106_3.nii;[65536,0,0,0,0]
400;ctslice7665_2.nii;[65529,0,0,7,0]
401;ctslice2013_3.nii;[65536,0,0,0,0]
402;ctslice1901_3.nii;[58667,673,4464,1732,0]
403;ctslice2713_1.nii;[65536,0,0,0,0]
404;ctslice1466_1.nii;[64816,622,0,98,0]
405;ctslice881_3.nii;[60800,2189,13,2534,0]
406;ctslice2673_1.nii;[61323,99,3972,142,0]
407;ctslice1312_2.nii;[64051,243,1198,44,0]
408;ctslice3066_3.nii;[59311,1124,4978,123,0]
409;ctslice2252_1.nii;[65536,0,0,0,0]
410;ctslice7243_1.nii;[65133,14,0,389,0]
411;ctslice6437_3.nii;[65213,323,0,0,0]
412;ctslice5201_2.nii;[65536,0,0,0,0]
413;ctslice7570_3.nii;[65536,0,0,0,0]
414;ctslice5380_1.nii;[61219,1081,1003,2203,30]
415;ctslice6191_1.nii;[57251,1412,43,3152,3678]
416;ctslice4308_3.nii;[65536,0,0,0,0]
417;ctslice766_2.nii;[64052,1338,0,146,0]
418;ctslice5834_1.nii;[63476,637,350,411,662]
419;ctslice6324_3.nii;[62365,195,2955,21,0]
420;ctslice5072_2.nii;[65162,374,0,0,0]
421;ctslice1061_1.nii;[59428,1097,2433,2578,0]
422;ctslice7426_3.nii;[62331,517,1654,1034,0]
423;ctslice7466_1.nii;[65536,0,0,0,0]
424;ctslice2117_3.nii;[65040,483,0,13,0]
425;ctslice6938_2.nii;[58219,1448,4109,1726,34]
426;ctslice6244_2.nii;[61927,2083,686,5,835]
427;ctslice7798_2.nii;[64091,2,1443,0,0]
428;ctslice3272_1.nii;[65292,0,0,0,244]
429;ctslice4012_1.nii;[65536,0,0,0,0]
430;ctslice1936_1.nii;[65536,0,0,0,0]
431;ctslice3767_3.nii;[65361,56,119,0,0]
432;ctslice6297_1.nii;[65536,0,0,0,0]
433;ctslice1503_1.nii;[64562,0,0,0,974]
434;ctslice5467_3.nii;[65536,0,0,0,0]
435;ctslice6480_2.nii;[65536,0,0,0,0]
436;ctslice7038_3.nii;[55789,2471,7276,0,0]
437;ctslice64_1.nii;[61858,145,3533,0,0]
438;ctslice7309_2.nii;[63013,207,1664,652,0]
439;ctslice3028_3.nii;[65536,0,0,0,0]
440;ctslice2059_1.nii;[61914,0,3212,410,0]
441;ctslice1771_1.nii;[62066,1196,28,2056,190]
442;ctslice447_3.nii;[60380,3460,0,1696,0]
443;ctslice5654_1.nii;[65536,0,0,0,0]
444;ctslice7999_1.nii;[65435,0,101,0,0]
445;ctslice3767_1.nii;[63490,142,1894,10,0]
446;ctslice4564_1.nii;[65536,0,0,0,0]
447;ctslice2990_1.nii;[65536,0,0,0,0]
448;ctslice8283_1.nii;[65306,0,195,0,35]
449;ctslice706_1.nii;[65536,0,0,0,0]
450;ctslice5195_1.nii;[65536,0,0,0,0]
451;ctslice3287_3.nii;[63070,0,2466,0,0]
452;ctslice4101_3.nii;[60773,1988,37,1953,785]
453;ctslice6526_3.nii;[62582,756,103,2095,0]
454;ctslice3558_2.nii;[55362,1756,1596,4388,2434]
455;ctslice4606_1.nii;[65536,0,0,0,0]
456;ctslice2153_2.nii;[56585,2801,457,3796,1897]
457;ctslice1387_2.nii;[64320,16,512,0,688]
458;ctslice3637_3.nii;[65536,0,0,0,0]
459;ctslice7036_3.nii;[65531,0,5,0,0]
460;ctslice7110_1.nii;[65536,0,0,0,0]
461;ctslice268_3.nii;[65536,0,0,0,0]
462;ctslice533_1.nii;[59810,1956,4,2936,830]
463;ctslice246_2.nii;[57956,1687,2549,3344,0]
464;ctslice3643_2.nii;[62320,1591,0,1083,542]
465;ctslice4599_1.nii;[61916,1052,44,2316,208]
466;ctslice4038_2.nii;[65520,0,0,0,16]
467;ctslice7498_3.nii;[65536,0,0,0,0]
468;ctslice5175_1.nii;[65293,0,243,0,0]
469;ctslice6437_1.nii;[65536,0,0,0,0]
470;ctslice4904_1.nii;[65536,0,0,0,0]
471;ctslice541_3.nii;[65536,0,0,0,0]
472;ctslice2099_1.nii;[65525,11,0,0,0]
473;ctslice2892_3.nii;[64910,0,626,0,0]
474;ctslice3239_3.nii;[65536,0,0,0,0]
475;ctslice4964_2.nii;[60917,563,2074,1982,0]
476;ctslice3703_2.nii;[63670,593,999,274,0]
477;ctslice3285_3.nii;[64467,22,246,801,0]
478;ctslice6873_1.nii;[65536,0,0,0,0]
479;ctslice1639_3.nii;[65536,0,0,0,0]
480;ctslice6080_2.nii;[64812,724,0,0,0]
481;ctslice8316_1.nii;[65536,0,0,0,0]
482;ctslice529_3.nii;[65536,0,0,0,0]
483;ctslice4266_3.nii;[63796,0,0,0,1740]
484;ctslice216_2.nii;[60769,0,4592,175,0]
485;ctslice668_1.nii;[65536,0,0,0,0]
486;ctslice3523_3.nii;[65162,374,0,0,0]
487;ctslice5431_1.nii;[65536,0,0,0,0]
488;ctslice1703_1.nii;[61391,1214,532,1743,656]
489;ctslice310_2.nii;[60678,302,3424,280,852]
490;ctslice6712_1.nii;[64192,0,1344,0,0]
491;ctslice2380_2.nii;[58650,3579,108,2915,284]
492;ctslice5427_1.nii;[61658,0,3878,0,0]
493;ctslice1035_2.nii;[65535,0,0,0,1]
494;ctslice7816_1.nii;[65536,0,0,0,0]
495;ctslice3112_1.nii;[65536,0,0,0,0]
496;ctslice7854_2.nii;[65536,0,0,0,0]
497;ctslice2991_1.nii;[59001,1902,3530,1103,0]
498;ctslice7844_1.nii;[64153,0,0,0,1383]
499;ctslice616_1.nii;[60714,539,1964,1108,1211]
500;ctslice2107_3.nii;[65536,0,0,0,0]
501;ctslice3886_1.nii;[62596,1761,144,910,125]
502;ctslice473_1.nii;[65536,0,0,0,0]
503;ctslice1837_1.nii;[65536,0,0,0,0]
504;ctslice1476_2.nii;[65536,0,0,0,0]
505;ctslice6998_3.nii;[65536,0,0,0,0]
