val_ids;val_gt_size;dumbpredwtags;dumbprednotags;dumbpredselect;proposalselect
ctslice1026_1.nii;[63223.0, 1469.0, 0.0, 844.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1026_2.nii;[63223.0, 1469.0, 0.0, 844.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1026_3.nii;[63223.0, 1469.0, 0.0, 844.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1027_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1027_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1027_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1028_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1028_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1028_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1029_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1029_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1029_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice102_1.nii;[58585.0, 4950.0, 0.0, 1600.0, 401.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice102_2.nii;[58585.0, 4950.0, 0.0, 1600.0, 401.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice102_3.nii;[58585.0, 4950.0, 0.0, 1600.0, 401.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1030_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1030_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1030_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1031_1.nii;[55495.0, 3337.0, 4450.0, 1464.0, 790.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1031_2.nii;[55495.0, 3337.0, 4450.0, 1464.0, 790.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1031_3.nii;[55495.0, 3337.0, 4450.0, 1464.0, 790.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1032_1.nii;[60366.0, 3572.0, 0.0, 1598.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1032_2.nii;[60366.0, 3572.0, 0.0, 1598.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1032_3.nii;[60366.0, 3572.0, 0.0, 1598.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[60540, 0, 4996, 0, 0]
ctslice1033_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1033_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1033_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1034_1.nii;[49344.0, 4168.0, 0.0, 6178.0, 5846.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52406, 4428, 4996, 0, 3706]
ctslice1034_2.nii;[49344.0, 4168.0, 0.0, 6178.0, 5846.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52915, 4428, 0, 4487, 3706]
ctslice1034_3.nii;[49344.0, 4168.0, 0.0, 6178.0, 5846.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52915, 4428, 0, 4487, 3706]
ctslice1035_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1035_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1035_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1036_1.nii;[55175.0, 2568.0, 100.0, 4203.0, 3490.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52915, 4428, 0, 4487, 3706]
ctslice1036_2.nii;[55175.0, 2568.0, 100.0, 4203.0, 3490.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52915, 4428, 0, 4487, 3706]
ctslice1036_3.nii;[55175.0, 2568.0, 100.0, 4203.0, 3490.0];[47919, 4428, 4996, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[52915, 4428, 0, 4487, 3706]
ctslice1037_1.nii;[59466.0, 2613.0, 0.0, 3457.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1037_2.nii;[59466.0, 2613.0, 0.0, 3457.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56053, 0, 4996, 4487, 0]
ctslice1037_3.nii;[59466.0, 2613.0, 0.0, 3457.0, 0.0];[56621, 4428, 0, 4487, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1038_1.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1038_2.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1038_3.nii;[65536.0, 0.0, 0.0, 0.0, 0.0];[65536, 0, 0, 0, 0];[51625, 4428, 4996, 4487,3706];[65536,0,0,0,0];[65536, 0, 0, 0, 0]
ctslice1039_1.nii;[58170.0, 3169.0, 0.0, 4068.0, 129.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487,3706];[51625, 4428, 4996, 4487, 0]
ctslice1039_2.nii;[58170.0, 3169.0, 0.0, 4068.0, 129.0];[52915, 4428, 0, 4487, 3706];[51625, 4428, 4996, 4487,3706];[0,0,0,0,0];[56621, 4428, 0, 4487, 0]
